lastName,name,patronymic,birthday,gender,phone,function,department,supervisor,employmentday,salary
Малышев,Илья,Макарович,01.08.1979,MALE,+7(3462)391514,Старший  инженер,ПлановыйОтдел,null,09.09.2004,18991,00
Малышева,Ариана,Федоровна,19.10.2000,FEMALE,+7(8662)272526,Инженер,ПлановыйОтдел,null,21.02.2019,129622,00
Богданова,София,Кирилловна,01.09.1977,FEMALE,+7(3462)391514,Инженер,ПлановыйОтдел,null,21.02.2019,158765,00
Чернова,Полина,Дмитриевна,19.10.2000,FEMALE,+7(3435)569134,Начальник отдела,Кадры,Чернова,25.06.2019,18252,00
Чернов,Даниил,Романович,13.11.1989,MALE,+7(383)9918391,Начальник отдела,ПроизводственныйОтдел,Чернов,21.02.2019,13420,00
Шульгина,Ксения,Кирилловна,01.09.1977,FEMALE,+7(3462)391514,Старший  инженер,ПлановыйОтдел,null,19.03.1999,114229,00
Евдокимов,Дмитрий,Геннадьевич,07.09.1970,MALE,+7(8112)969401,Начальник отдела,ФинансовыйОтдел,Евдокимов,17.07.2015,78600,00
Чернов,Александр,Егорович,18.07.1984,MALE,+7(383)9918391,Старший инспектор,Кадры,Чернова,21.02.2019,2954,00
Абрамова,София,Алексеевна,18.07.1984,FEMALE,+7(8662)740036,Начальник отдела,Бухгалтерия,Абрамова,25.06.2019,145351,00
Соколов,Илья,Романович,01.09.1977,MALE,+7(3462)391514,Старший  инженер,ФинансовыйОтдел,Евдокимов,09.09.2004,150831,00
Абрамова,Мария,Константиновна,18.07.1984,FEMALE,+7(8662)272526,Инженер,ПлановыйОтдел,null,21.02.2019,82915,00
Шульгин,Александр,Назарович,15.02.1996,MALE,+7(8112)969401,Старший  бухгалтер,Бухгалтерия,Абрамова,21.02.2019,141143,00
Малышева,София,Кирилловна,23.01.1975,FEMALE,+7(495)2371101,Инспектор,Кадры,Чернова,09.09.2004,41018,00
Богданов,Владислав,Максимович,02.11.1971,MALE,+7(8662)272526,Инженер,ПроизводственныйОтдел,Чернов,09.10.1995,70809,00
Абрамов,Алексей,Геннадьевич,23.01.1975,MALE,+7(495)2371101,Старший  инженер,ФинансовыйОтдел,Евдокимов,19.03.1999,75878,00
Прокофьев,Владислав,Геннадьевич,23.01.1975,MALE,+7(8662)740036,Инженер,ФинансовыйОтдел,Евдокимов,27.02.1996,105801,00
